name,category,address,lat,lng,phone,opening_hours
Flavours,restaurant,Amravati,20.8956029,77.7471649,,
Sarvadnya Mess,restaurant,Amravati,20.895903,77.7468171,,
Omi's Cafe,restaurant,Amravati,20.8982488,77.7414946,,
Madhuram,restaurant,Amravati,20.8978732,77.7485207,,
Hotel lazeez,restaurant,Amravati,20.8970838,77.7481961,,
Sweet Moment Ice Cream Parlour,restaurant,Amravati,20.8984119,77.7465975,,
SALSAR Ice cream Corner,restaurant,Amravati,20.8984796,77.7463964,,
Kanhaiya Kunj,restaurant,Amravati,20.899775,77.7464688,,
Mo'joe cafe and bite,restaurant,Amravati,20.9012785,77.7472734,,
Haryali Restaurant and Bar,restaurant,Amravati,20.9022407,77.747834,,
वक्रतुंड थाली रेस्टॉरेंट,restaurant,Amravati,20.9028846,77.7493388,,
Hotel Dreamworld Restaurant And Bar,restaurant,Amravati,20.9023684,77.7489954,,
Hotel Iccha,restaurant,Amravati,20.903947,77.7477911,,
Gurukrupa Ice Cream Palour,restaurant,Amravati,20.907946,77.7470401,,
Ram-Rasoi Mess,restaurant,Amravati,20.9146211,77.7453871,,
Pizza Hut,restaurant,Amravati,20.9369069,77.7687889,,
Galaxy Bar and Restaurant,restaurant,Amravati,20.9413719,77.7763174,,
Taste of South,restaurant,Amravati,20.9362675,77.781011,,
Mr. Idli and Chat's,restaurant,Amravati,20.9342593,77.7772254,,
Surbhi Veg Hotel,restaurant,Amravati,20.9528556,77.738834,,
Mehfil Inn,restaurant,Amravati,20.935826,77.7705266,,24/7
Gauri Inn,restaurant,Amravati,20.9612796,77.7817093,,
Golden Food Junction,restaurant,Tower line road,20.9528143,77.7410471,+91-70588-51318,
SBI ATM,atm,Amravati,20.9390792,77.781546,,
Hotel Ambika Lodging N Restaurant,hotel,Amravati,20.9297601,77.7645397,,
Skill India Training Centre,hotel,Amravati,20.9440853,77.8000722,,
Hotel Milestone,hotel,Amravati,20.9720952,77.774395,,
Ladies Hostel,hotel,Amravati,20.9434124,77.7723564,,
Ameen Campus,hotel,Amravati,20.93846,77.7831561,,
Girl's Hostel,hotel,Amravati,20.9395405,77.7675783,,
Hotel Sunrise Inn,hotel,Amravati,20.9334706,77.7578204,,
Hotel Excel Executive,hotel,Amravati,20.9339792,77.7576354,,
Hotel Samrat,hotel,Amravati,20.931268,77.7533481,,
Hotel Monarch Luxury,hotel,Amravati,20.9295735,77.7558555,,
Shree Ranisati Refreshment,hotel,Amravati,20.9293029,77.7563141,,
Hotel shrihari,hotel,Amravati,20.9288572,77.7595212,,
Hotel Shrihari,hotel,Amravati,20.9285516,77.7603124,,
Hotel Karan,hotel,Amravati,20.9285641,77.7612807,,
Hotel Central Bar,hotel,Amravati,20.934028,77.758282,,
Aarti Restaurant And Bar,hotel,Old ByPass,20.901861,77.7638183,,
Raja Saheb Wine Bar & Restaurant,hotel,Old ByPass,20.8996792,77.7623641,,
Hotel Golden Ark Restaurant & Bar,hotel,Old ByPass,20.9000476,77.7627215,,
Hotel Adarsh,hotel,Amravati,20.9347831,77.7547252,,
Hotel Indrapuri,hotel,Amravati,20.9319242,77.7549387,,
Laddha Mansion,hotel,Amravati,20.9326082,77.7544747,,
Hotel Hindustan International,hotel,Amravati,20.9338271,77.7526059,,
Bajaj Mansion,hotel,Amravati,20.9437599,77.7608282,,
Hotel Vandu International,hotel,Amravati,20.9236306,77.7532774,,
Mohini Hotel,hotel,Amravati,20.8828709,77.7439651,,
"Rented Flats, Benaam Chawk",hotel,Amravati,20.8952697,77.747893,,
Bhagwan Mohata,hotel,Amravati,20.8987652,77.7446395,,
Jai Bharat Mangalam,hotel,Amravati,20.9036789,77.7501729,,
Las Vegas,hotel,Amravati,20.9042703,77.7503875,,
7 PM,hotel,Amravati,20.9044131,77.7496097,,
Axis Bank Ltd,bank,"Dhanaraj Nagar, Plot No. 7, Sutgirani Road, Near Gopal Nagar, Railway Gate, Rajendra Nagar, Gopal Nagar,",20.8957212,77.7494782,,
Abhinav Urban Cooperative Credit Society Ltd,bank,Amravati,20.8975437,77.7506717,,
Airtel Banking Point,bank,Amravati,20.8984523,77.7505441,,
DHFL Amravti,bank,Amravati,20.9305526,77.758835,,
ICICI Bank,bank,Amravati,20.9298521,77.7615841,,
Equitas Small Finance Bank,bank,Amravati,20.9297669,77.7614795,,
Vidyut Karmachari Co.Op Credit Society,bank,Amravati,20.9301351,77.7586927,,
Maha E-Seva Center & Aadhar Center,bank,Amravati,20.9267771,77.7710324,,
The Amravti Merchant's Co-op Bank,bank,Amravati,20.93181,77.7778346,,
Axis Bank,bank,Amravati,20.931359,77.7808521,,
HDFC Bank,bank,Amravati,20.9091802,77.751643,,
Bank Of Maharashtra Arjun nagar Branch,bank,Amravati,20.9595161,77.7765121,,
Allahabad Bank,bank,Amravati,20.9508741,77.7629554,,
ICICI Bank,bank,Amravati,20.9493661,77.7634811,,
Bank of India,bank,Amravati,20.9489328,77.7638647,,
State Bank of India,bank,Amravati,20.9498571,77.7631673,,
ICICI Bank,bank,Amravati,20.9485295,77.7640819,,
Jijau Commercial Co Op Bank,bank,Amravati,20.9472144,77.7646103,,
Bank of Maharashtra,bank,Amravati,20.9466884,77.7649751,,
IndusInd Bank,bank,Amravati,20.9461423,77.765879,,
Central Bank of India,bank,Amravati,20.9459694,77.7660212,,
Dr Panjabrao Deshmukh Urban Co-op Bank,bank,Amravati,20.9425381,77.7702133,,
Bank Of Maharashtra,bank,Amravati,20.9116484,77.7560821,,
Shikshak o-operative Bank,bank,Amravati,20.9444344,77.7707122,,
"Washim Urban Co-Operative Bank, Amravati",bank,Amravati,20.933879,77.7571231,,
"Nagpur Nagarik Sahakari Bank Ltd., Amaravati Branch",bank,Amravati,20.9311834,77.7556827,,
Axis Bank,bank,Amravati,20.9314139,77.7562299,,
ICICI Bank,bank,Amravati,20.9309153,77.7553126,,
Central Bank of India,bank,Amravati,20.9310556,77.7564552,,
Bank of India,bank,Amravati,20.9298671,77.7548538,,
Punjab National Bank,bank,Amravati,20.9290278,77.752818,,
Indian Bank,bank,Amravati,20.9297694,77.7518792,,
Bank of Baroda,bank,Amravati,20.9295364,77.751788,,
Abhinandan Urban Co-Op Bank,bank,Amravati,20.9311447,77.7518417,,
Syndicate Bank,bank,Amravati,20.9311147,77.7520616,,
The Khamgaon Urban Co-operative Bank Ltd,bank,Amravati,20.9285664,77.7566789,,
"Shri Chhatrapati Rajarshi Shahu Urban Co-Operative Bank Ltd., Beed",bank,Amravati,20.9289973,77.7589829,,
"Z P Teacher's Bank Head Office, Amravati",bank,Amravati,20.9285466,77.7592637,,
Akola janta commercial co-op bank ltd,bank,Amravati,20.9303353,77.7628659,,
Dr Pduc Bank,bank,Amravati,20.9338727,77.7599557,,
HDFC Home Loans,bank,Amravati,20.9348622,77.7593763,,
Adb SbI Branch Amravati,bank,Amravati,20.9329669,77.7557337,,
Oriental Bank of Commerce,bank,Amravati,20.9322855,77.7567503,,
Rainbow Financial Services,bank,Amravati,20.9317268,77.7561548,,
Muthoot Fincorp Limited,bank,Amravati,20.9318696,77.7557847,,
CICI BANK ATM,bank,Amravati,20.9079224,77.7671213,,
Akola Arban Co Operative Bank Amravati,bank,Amravati,20.9304166,77.7554816,,
State Bank of India,bank,Amravati,20.9322775,77.753941,,
Axis Bank,bank,Amravati,20.9323802,77.7556737,,
Khamgao Bank Amravati,bank,Amravati,20.9334474,77.7533428,,
Central Bank of India,bank,Amravati,20.9321668,77.7499093,,
HDFC Bank,bank,Old ByPass,20.9114319,77.7736111,,
Axis Bank ATM,bank,Old ByPass,20.9124623,77.7697095,,
Bank Of Maharashtra,bank,Old ByPass,20.9121566,77.7694681,,
Bank of India,bank,Amravati,20.9333724,77.7444601,,
Axix,bank,Old ByPass,20.9152484,77.7719304,,
Bank Of Maharastra,bank,Amravati,20.9270903,77.7536416,,
IDBI Bank,bank,Amravati,20.9282728,77.7507475,,
Airtel Banking Point,bank,Amravati,20.9287037,77.7481056,,
Narahari Nagari Sahakari Patasanstha,bank,Amravati,20.9283391,77.7470432,,
State Bank of India,bank,Amravati,20.9291196,77.7469254,,
Dr. Panjabrao Deshmukh Urban. Co-operative Bank,bank,Amravati,20.9596558,77.7529977,,
Amravati District Central Co-Operative Bank,bank,Amravati,20.9609131,77.7525632,,
State Bank of India,bank,Amravati,20.9620403,77.750463,,
Canara Bank,bank,Amravati,20.9630171,77.7492373,,
Canara Bank,bank,Amravati,20.9634429,77.7485828,,
Manappuram Finance,bank,Amravati,20.9643997,77.7487035,,
CENTRAL BAnk OPF INDia,bank,Amravati,20.9173095,77.7602793,,
SBI,bank,Amravati,20.9197822,77.7635661,,
Syndicate Bank,bank,Amravati,20.9398688,77.744735,,
"Fateh Manzil, Amravati Maharashtra",bank,Amravati,20.9521098,77.7333168,,
Bank of Maharashtra Zonal Office,bank,"Rukhmini Nagar, Near Vivekanand Colony, Swami Vivekanand Rd, Gandhi Nagar, Vivekanand Colony, Amravati, Maharashtra 444606",20.9259653,77.7622489,,
Axis Bank,bank,"SHOP NO106 AMBA TOWER RAVI NAGAR SQUARE DUSSEHRA MAIDAN ROAD NR SHIVAJI COMPLEX, Rukhmini Nagar, Vivekanand Colony, Amravati, Maharashtra 444606",20.9266918,77.7659986,,
HDFC Bank,bank,Amravati,20.9281925,77.7483198,,
LIC (Gadgenagar Branch),bank,Amravati,20.9476925,77.766358,,
Central Bank Of India ATM,bank,Amravati,20.9524523,77.7611365,,
Bank of Baroda,bank,"Vivekanand Colony, Amravati, Maharashtra 444606",20.9238066,77.7669994,,
Karur Vysya Bank,bank,Ojas Kale Marg,20.9253955,77.7638558,,
Indian Bank,bank,Amravati,20.9258039,77.7645558,,
Cosmos Co-Operative Bank,bank,Amravati,20.9477577,77.7588389,,
Axis Bank,bank,Amravati,20.9430413,77.7513652,,
Max Life Insurance Co. Ltd,bank,Amravati,20.9415508,77.7506276,,
THE SHAMRAO VITHAL CO-OPERATIVE BANK,bank,Amravati,20.9419541,77.7509575,,
Mahindra Finance,bank,Amravati,20.9413328,77.7513303,,
Airtel Banking Point,bank,Amravati,20.9417838,77.7581909,,
Axis Bank,bank,Amravati,20.9191666,77.7563716,,
Catholic Syrian Bank,bank,Amravati,20.9255096,77.7518022,,
The Karur Vysya Bank Ltd,bank,Amravati,20.9234702,77.7534223,,
BHR Multi State Co-Op Cr. Society Ltd,bank,Amravati,20.921977,77.7537549,,
Shah Baheti Chandak & Co. Chartered Accountants,bank,Amravati,20.9218818,77.7538434,,
Maharashtra Bank,bank,Amravati,20.9220522,77.7542269,,
Bank of Maharashtra,bank,Amravati,20.8958402,77.7474063,,
Bank Of Baroda,bank,Amravati,20.896054,77.7457607,,
SBI Dasturnagar,bank,Amravati,20.9129473,77.7639624,,
IDBI BANK ATM,bank,Amravati,20.9166961,77.7489787,,
Brajlal Biyani Parking Lot,bank,Amravati,20.9157089,77.7487898,,
Bank of Maharashtra,bank,Amravati,20.9498936,77.763927,,
State Bank of India,bank,Amravati,20.9266197,77.762979,,Mo-Fr 10:00 AM-4:00 PM
State Bank of India,bank,Amravati,20.9399739,77.7811615,,
Ashirwad Nursing Home,clinic,Rukhmini Nagar,20.9273912,77.7644183,,
Boob Nursing Home,clinic,"9, Rathi Nagar, V.M.V Road",20.949947,77.76311,,
Dr. Barabde Hospital,clinic,Camp Road,20.9344928,77.7638027,,
"Vaishnavi Nursing Home, Amravati",clinic,Rukhmini Nagar,20.9266296,77.7628284,,
Nagalkar Nursing Home and PolyClinic,clinic,"Laxmi Narayan Nagar, Sudarshan Building, Shankar Nagar Road, Amravati",20.9084752,77.7624711,,
Sufiyan Clinic,clinic,"Zakir Colony, Amravati",20.9406121,77.7428971,,
Saras Homeopathy Clinic,clinic,"Guruchhaya, Sharda Nagar, Kanwar Nagar, Guruchhaya Colony, Amravati",20.9198325,77.7545504,,
Dr. Tapadia Clinic,clinic,"Mudholkar Peth, Kanwar Nagar, Guruchhaya Colony, Amravati",20.9248326,77.7536391,,
Dr. Avinash Lawhale's Medical Clinic,clinic,"Mudholkar Peth, Behind Monalisa Complex, Rajapeth, Amravati",20.9235618,77.752562,,
Dr. Swapnil Ghatol Clinic,clinic,"Padam Saurabh Colony, Om Shivniketan Colony, Sanmati Colony, Amravati",20.9569076,77.7656831,,
Dr. Soni's Netranjali Eye & Dental Clinic,clinic,"Maharashtra Major State Highway 6, Square Road, Rajapeth, Amravati",20.9223858,77.7533241,,
Dr. Bonde's Dental Clinic,clinic,"Rathi Nagar, Gade Nagar, Amravati",20.9507085,77.7626548,,
Gurukunja Clinic,clinic,"VMV Road, Near to Madhu Prabha Complex, Gade Nagar, Amravati",20.939541,77.780076,,
Dr. Prashant Pathak Clinic,clinic,"MH MSH 6, Patvipura, Amravati",20.9286173,77.7543337,,
Madhavbaug Clinic,clinic,"Prashant Nagar Road, Rajendra Colony Road, Rukhmini Nagar, Vivekanand Colony, Amravati",20.926812,77.767514,,
Asha Clinic,clinic,"Rampuri Camp, Amravati",20.9445428,77.760633,,
Umed Child Care Centre,clinic,"Shankar Nagar Road, Jayaram Nagar, Gopal Nagar, Amravati",20.9149974,77.7573093,,
Shri Multispeciality Clinic,clinic,"Near Sagar Medical, Frezerpura, Amravati",20.9233895,77.7716406,,
Dr. Jawarkar Clinic,clinic,"Sharda Nagar, Guruchhaya Colony, Amravati",20.9213905,77.7505558,,
Bhutada Physiotherapy Physiofit Clinic,clinic,"Badnera Road, Amba Peth, Amravati",20.926218,77.7546063,,
Dr. Wagh Hospital,clinic,"Rathi Nagar, Gade Nagar, Amravati",20.9508348,77.7633587,,
Shivmaya Clinic,clinic,"Yashomangal Colony, Rutuparna, Amravati",20.9626085,77.7510642,,
Anjali Clinic,clinic,"Bhaji Bazar, Amravati",20.934011,77.743576,,
Nimbhorkar Homeopathy Clinic,clinic,"Patvipura, Amravati",20.931746,77.7552497,,
Pramanda Clinic,clinic,"Amravati Old Bypass Road, Sanjay Gandhi Nagar, Dastur Nagar, Amravati",20.918116,77.7750906,,
City Poly Clinic,clinic,"Balaji Plot, Near Deeparchand, Madhokar Peth, Amravati",20.9214095,77.7536532,,
Daware Dawakhana,clinic,Amravati,20.9348297,77.795238,,
Radiant Superspeciality hospital,clinic,"Sabnis Plot, Near, Kalyan Nagar Chowk, Vivekanand Colony",20.9200762,77.7605041,,
Police Station Frezarpura,police,Amravati,20.9323762,77.7762628,,
"Amravati City Kotwali, Police Station",police,Amravati,20.9301627,77.7536656,,
Nagpuri Gate Police Station,police,Amravati,20.9363366,77.7444454,,
Kholapuri Gate Police station,police,Amravati,20.9340259,77.7389522,,
"Office of Superintendant of Police, Amravati",police,Amravati,20.9386103,77.7780673,,
Independent Junior College Rural Institute,college,Amravati,20.9431343,77.768891,,
Rural Agriculture College,college,Amravati,20.9428412,77.7691994,,
Shri Shivaji College of Education,college,Amravati,20.9417691,77.7721686,,
Matoshree Vimalabai Deshmukh Junior College,college,Amravati,20.9422009,77.7678654,,
Law College,college,Amravati,20.9384176,77.7655506,,
Shivaji Horticulture College,college,Amravati,20.9406045,77.7650919,,
Dr. Panjabrao Deshmukh Girls Polytechnic College,college,Amravati,20.9431287,77.7663589,0721 2551414,
Takshashila Mahavidyalaya,college,Amravati,20.9259498,77.7716482,,
Dr. Panjabrao Deshmukh Rural Polytechnic,college,Amravati,20.9434515,77.7682943,,
Vidya Bharti Mahavidyalaya,college,Amravati,20.935638,77.7747867,,
ScienceScore School + College,college,Amravati,20.9286118,77.7661523,,
Shivaji Science College,college,Amravati,20.9401483,77.7663513,,
